id,timestamp,dataset,organization_name,organization_address_line1,organization_address_line2,organization_address_line3,organization_country,poc_name,poc_email,poc_telephone,mailing_list,approved
4828,2023-04-01 13:54:58.256046-04,sd18,New York University,370 Jay St. ,"Brooklyn, New York",,USA,,,,f,f
4836,2023-04-06 09:51:53.256985-04,sd18,Rutgers University - Newark,123 Washington Street,"Center for Law and Justice, Room 579H","Newark, NJ 07102",USA,,,,f,f
4848,2023-04-11 21:23:45.714971-04,sd18,jinan University,guangdong,zhuhai,Road Qianshan 206,CHN,,,,f,f
4850,2023-04-12 12:14:30.099161-04,sd18,Parsons Corp,10432 Balls Ford Road,Ste 120,,USA,,,,f,f
4861,2023-04-18 16:49:11.095354-04,sd18,Rutgers University-Newark,123 Washington Street,"Center for Law and Justice, Room 579H","Newark, New Jersey 07102",USA,,,,f,f
4862,2023-04-18 19:50:16.41116-04,sd18,NEC Corporation Of America,"10850 Gold Center Dr, Suite 200",Rancho Cordova,CA,USA,,,,f,f
4866,2023-04-19 08:09:27.34657-04,sd18,Inha University in Tashkent,"9, Ziyolilar str.",M.Ulugbek district,"Tashkent, 100170",UZB,,,,f,f
4878,2023-04-26 05:29:23.204015-04,sd18,Bluevision,Hitech city,Hyderabad,Telangana,IND,,,,f,f
4882,2023-04-27 03:54:37.67186-04,sd18,NEC Corporation Of America,"10850 Gold Center Dr, Suite 200",Rancho Cordova,CA,USA,,,,f,f
4893,2023-05-03 06:53:14.8024-04,sd18,MIPT,Moscow region,Dolgoprudniy,Institutskiy 9,RUS,,,,f,f
4894,2023-05-03 06:53:29.837461-04,sd18,MIPT,Moscow region,Dolgoprudniy,Institutskiy 9,RUS,,,,f,f
4898,2023-05-07 03:08:07.41646-04,sd18,Beijing Insititute of Technology,"International Students apartment, Liang Xiang Campus of Beijing Institute of Technology", Fangshan District,"Beijing, 102488",CHN,,,,f,f
